name,http_status,https_status,SIREN,type,sources,script
milizac-guipronvel.bzh,200 OK,200 OK,,Collectivité,ADULLACT,
www.milizac-guipronvel.bzh,301 Moved Permanently https://milizac-guipronvel.bzh/,301 Moved Permanently https://milizac-guipronvel.bzh/,,Collectivité,Wikidata,
missionlocalecob.bzh,200 OK,200 OK,,,ADULLACT,
www.missionlocalecob.bzh,301 Moved Permanently https://missionlocalecob.bzh/,301 Moved Permanently https://missionlocalecob.bzh/,,,ADULLACT,
mlstmalo.bzh,301 Moved Permanently https://www.mlstmalo.bzh/,301 Moved Permanently https://www.mlstmalo.bzh/,,,ADULLACT,
www.mlstmalo.bzh,200 OK,200 OK,,,ADULLACT,
moncontour.bzh,200 OK,200 OK,,Commune,DILA open data,
www.moncontour.bzh,301 Moved Permanently https://moncontour.bzh/,301 Moved Permanently https://moncontour.bzh/,,Commune,Ajout manuel de Matthieu FAURE,
montfort-sur-meu.bzh,301 Moved Permanently https://www.montfort-sur-meu.bzh/,301 Moved Permanently https://www.montfort-sur-meu.bzh/,,Collectivité,ADULLACT,
www.montfort-sur-meu.bzh,200 OK,200 OK,,Collectivité,Wikidata,
montfortcommunaute.bzh,301 Moved Permanently https://www.montfortcommunaute.bzh/,301 Moved Permanently https://www.montfortcommunaute.bzh/,,EPCI,ADULLACT,
www.montfortcommunaute.bzh,200 OK,200 OK,,EPCI,Wikidata,
morlaix-communaute.bzh,301 Moved Permanently https://www.morlaix-communaute.bzh/,301 Moved Permanently https://www.morlaix-communaute.bzh/,,EPCI,ADULLACT,
www.morlaix-communaute.bzh,200 OK,200 OK,,EPCI,ADULLACT,
moutiers.bzh,200 OK,200 OK,,Commune,ADULLACT,
www.moutiers.bzh,200 OK,200 OK,,Commune,Wikidata,
muel.bzh,301 Moved Permanently https://www.muel.bzh/,301 Moved Permanently https://www.muel.bzh/,,Commune,ADULLACT,
www.muel.bzh,200 OK,200 OK,,Commune,ADULLACT,
oust-broceliande.bzh,301 Moved Permanently https://www.oust-broceliande.bzh/,301 Moved Permanently https://www.oust-broceliande.bzh/,,EPCI,Ajout manuel de Matthieu FAURE,
www.oust-broceliande.bzh,200 OK,200 OK,,EPCI,Ajout manuel de Matthieu FAURE,
pays-broceliande.bzh,200 OK,200 OK,,,ADULLACT,
pays-iroise.bzh,301 Moved Permanently https://www.pays-iroise.bzh//,301 Moved Permanently https://www.pays-iroise.bzh//,,EPCI,ADULLACT,
www.pays-iroise.bzh,200 OK,200 OK,,EPCI,ADULLACT,
communaute.paysdechateaugiron.bzh,301 Moved Permanently https://www.communaute.paysdechateaugiron.bzh/,301 Moved Permanently https://www.communaute.paysdechateaugiron.bzh/,,Collectivité,ADULLACT,
www.communaute.paysdechateaugiron.bzh,200 OK,200 OK,,Collectivité,Wikidata,
pledran.bzh,200 OK,200 OK,,Commune,ADULLACT,
www.pledran.bzh,301 Moved Permanently https://pledran.bzh/,301 Moved Permanently https://pledran.bzh/,,Commune,Wikidata,
plescop.bzh,301 Moved Permanently https://www.plescop.bzh/,301 Moved Permanently https://www.plescop.bzh/,,Commune,ADULLACT,
www.plescop.bzh,200 OK,200 OK,,Commune,Wikidata,
plestan.bzh,301 Moved Permanently http://www.plestan.bzh,Connection failed,,Collectivité,ADULLACT,
www.plestan.bzh,200 OK,200 OK,,Collectivité,Wikidata,
plestinlesgreves.bzh,301 Moved Permanently http://www.plestinlesgreves.bzh/,301 Moved Permanently https://www.plestinlesgreves.bzh/,,Collectivité,ADULLACT,
www.plestinlesgreves.bzh,200 OK,200 OK,,Collectivité,Wikidata,
pleugriffet.bzh,200 OK,200 OK,,Commune,Wikidata,
www.pleugriffet.bzh,301 Moved Permanently https://pleugriffet.bzh/,301 Moved Permanently https://pleugriffet.bzh/,,Commune,Ajout manuel de Matthieu FAURE,
